source,trades,parent
FVG_RETEST,52,P0_BASELINE_E75
BOS_RETEST,23,P0_BASELINE_E75
SWEEP_RECLAIM,20,P0_BASELINE_E75
OB_RETEST,3,P0_BASELINE_E75
FVG_RETEST,296,P1_PULLBACK_D14
SWEEP_RECLAIM,192,P1_PULLBACK_D14
BOS_RETEST,184,P1_PULLBACK_D14
OB_RETEST,39,P1_PULLBACK_D14
FVG_RETEST,110,P2_G1_D14
SWEEP_RECLAIM,71,P2_G1_D14
BOS_RETEST,49,P2_G1_D14
OB_RETEST,8,P2_G1_D14
FVG_RETEST,202,P3_EXPANSION_D14
BOS_RETEST,121,P3_EXPANSION_D14
SWEEP_RECLAIM,100,P3_EXPANSION_D14
OB_RETEST,21,P3_EXPANSION_D14
FVG_RETEST,388,P4_PULLBACK_OR_EXPANSION_D14
BOS_RETEST,237,P4_PULLBACK_OR_EXPANSION_D14
SWEEP_RECLAIM,225,P4_PULLBACK_OR_EXPANSION_D14
OB_RETEST,47,P4_PULLBACK_OR_EXPANSION_D14
FVG_RETEST,388,P5_NONRANGE_D14
BOS_RETEST,237,P5_NONRANGE_D14
SWEEP_RECLAIM,225,P5_NONRANGE_D14
OB_RETEST,47,P5_NONRANGE_D14
FVG_RETEST,397,P6_D14_ALL
BOS_RETEST,238,P6_D14_ALL
SWEEP_RECLAIM,222,P6_D14_ALL
OB_RETEST,51,P6_D14_ALL
