flow_id,flow_signal_time,flow_i,side,frozen_flow_signed12_atr,trigger_rule,trigger_time,trigger_i,trigger_level,entry,entry_atr,delay_bars,delay_hours
0,2021-01-01 00:00:00+00:00,46105,1,2.8212573927179885,EXTREME4_COLOR,2021-01-01 06:30:00+00:00,46131,29120.46,29216.85,119.48357142857094,26,6.5
1,2021-01-01 12:00:00+00:00,46153,1,0.259327903750221,EXTREME4_COLOR,2021-01-01 15:00:00+00:00,46165,29280.32,29377.7,154.03357142857098,12,3.0
2,2021-01-02 00:45:00+00:00,46204,1,12.301115173785815,EXTREME4_COLOR,2021-01-02 03:00:00+00:00,46213,29340.7,29388.92,134.45642857142852,9,2.25
3,2021-01-02 13:00:00+00:00,46253,1,6.640365846531457,EXTREME4_COLOR,2021-01-02 21:00:00+00:00,46285,30800.0,31544.67,562.4992857142855,32,8.0
4,2021-01-03 01:00:00+00:00,46301,-1,-6.679128988695994,EXTREME4_COLOR,2021-01-03 01:30:00+00:00,46303,32675.0,32640.88,284.615714285715,2,0.5
5,2021-01-03 13:00:00+00:00,46349,-1,4.305577246160768,EXTREME4_COLOR,2021-01-03 20:30:00+00:00,46379,33800.0,33657.16,401.3742857142856,30,7.5
6,2021-01-04 01:00:00+00:00,46397,-1,4.889515959632024,EXTREME4_COLOR,2021-01-04 04:00:00+00:00,46409,33583.07,33507.05,256.5699999999997,12,3.0
7,2021-01-04 13:00:00+00:00,46445,-1,-1.9715244878109977,EXTREME4_COLOR,2021-01-04 15:00:00+00:00,46453,32135.0,31828.73,448.53000000000014,8,2.0
8,2021-01-05 01:00:00+00:00,46493,-1,1.8969683600675908,EXTREME4_COLOR,2021-01-05 02:00:00+00:00,46497,32847.26,32736.27,357.0721428571438,4,1.0
9,2021-01-05 13:15:00+00:00,46542,1,7.183351753240234,EXTREME4_COLOR,2021-01-05 16:00:00+00:00,46553,31964.27,32242.62,341.9042857142857,11,2.75
10,2021-01-06 01:15:00+00:00,46590,1,2.3778507087494014,EXTREME4_COLOR,2021-01-06 03:00:00+00:00,46597,33795.0,33918.85,340.10499999999905,7,1.75
11,2021-01-06 13:15:00+00:00,46638,-1,-5.906072249653719,EXTREME4_COLOR,2021-01-06 19:30:00+00:00,46663,35742.93,35644.44,307.5371428571426,25,6.25
12,2021-01-07 01:15:00+00:00,46686,1,3.328194842799139,EXTREME4_COLOR,2021-01-07 01:45:00+00:00,46688,36747.16,36975.46,412.3971428571437,2,0.5
13,2021-01-07 13:15:00+00:00,46734,-1,-0.5307954670480968,EXTREME4_COLOR,2021-01-07 14:15:00+00:00,46738,38640.0,38534.84,376.5464285714282,4,1.0
