Index,flow_id,flow_signal_time,flow_i,side,frozen_flow_signed12_atr,trigger_rule,trigger_time,trigger_i,trigger_level,entry,entry_atr,delay_bars,delay_hours,exit_time,stopped,gross_atr,cost_atr,net_atr,mae_atr,mfe_atr,sample
0,0,2021-01-01 00:00:00+00:00,46105,1,2.8212573927179885,SWEEP_RECLAIM_4,2021-01-01 06:30:00+00:00,46131,29120.46,29216.85,119.48357142857094,26,6.5,2021-01-01 07:00:00+00:00,True,-1.5,0.12226304273749579,-1.6222630427374958,3.3046384141274667,0.09892573396222828,AUDIT_PRIMARY_SL15_TIME24
1,1,2021-01-01 12:00:00+00:00,46153,1,0.259327903750221,SWEEP_RECLAIM_4,2021-01-01 15:00:00+00:00,46165,29280.32,29377.7,154.03357142857098,12,3.0,2021-01-01 15:30:00+00:00,True,-1.5,0.09536135443572162,-1.5953613544357217,2.1680338701674606,0.0804370104847238,AUDIT_PRIMARY_SL15_TIME24
2,2,2021-01-02 00:45:00+00:00,46204,1,12.301115173785815,SWEEP_RECLAIM_4,2021-01-02 03:00:00+00:00,46213,29340.7,29388.92,134.45642857142852,9,2.25,2021-01-03 03:00:00+00:00,False,24.059095086565502,0.10928789464457422,23.94980719192093,1.18194423047295,30.42680847220823,AUDIT_PRIMARY_SL15_TIME24
3,3,2021-01-02 13:00:00+00:00,46253,1,6.640365846531457,SWEEP_RECLAIM_4,2021-01-02 21:00:00+00:00,46285,30800.0,31544.67,562.4992857142855,32,8.0,2021-01-03 21:00:00+00:00,False,3.883151597652831,0.02803974227268861,3.8551118553801422,0.21808027692733276,5.844594088373451,AUDIT_PRIMARY_SL15_TIME24
4,4,2021-01-03 01:00:00+00:00,46301,-1,-6.679128988695994,SWEEP_RECLAIM_4,2021-01-03 01:30:00+00:00,46303,32675.0,32640.88,284.615714285715,2,0.5,2021-01-03 04:45:00+00:00,True,-1.5,0.057342020067158085,-1.5573420200671582,2.4212647630137853,0.6311317013918537,AUDIT_PRIMARY_SL15_TIME24
5,5,2021-01-03 13:00:00+00:00,46349,-1,4.305577246160768,SWEEP_RECLAIM_4,2021-01-03 20:30:00+00:00,46379,33800.0,33657.16,401.3742857142856,30,7.5,2021-01-04 20:30:00+00:00,False,5.606911254902812,0.041927399434799034,5.564983855468013,0.7249343327567279,14.59276343420108,AUDIT_PRIMARY_SL15_TIME24
6,6,2021-01-04 01:00:00+00:00,46397,-1,4.889515959632024,SWEEP_RECLAIM_4,2021-01-04 04:00:00+00:00,46409,33583.07,33507.05,256.5699999999997,12,3.0,2021-01-05 04:00:00+00:00,False,10.801613594730505,0.06529806680438095,10.736315527926124,0.16740070935805876,22.243637214015706,AUDIT_PRIMARY_SL15_TIME24
7,7,2021-01-04 13:00:00+00:00,46445,-1,-1.9715244878109977,SWEEP_RECLAIM_4,2021-01-04 15:00:00+00:00,46453,32135.0,31828.73,448.53000000000014,8,2.0,2021-01-05 00:00:00+00:00,True,-1.5,0.035481160680445,-1.535481160680445,1.6412948966624343,2.601988718703318,AUDIT_PRIMARY_SL15_TIME24
8,8,2021-01-05 01:00:00+00:00,46493,-1,1.8969683600675908,SWEEP_RECLAIM_4,2021-01-05 02:00:00+00:00,46497,32847.26,32736.27,357.0721428571438,4,1.0,2021-01-05 18:15:00+00:00,True,-1.5,0.045839854291149534,-1.5458398542911496,1.5157161117901237,7.9431287394904,AUDIT_PRIMARY_SL15_TIME24
9,9,2021-01-05 13:15:00+00:00,46542,1,7.183351753240234,SWEEP_RECLAIM_4,2021-01-05 16:00:00+00:00,46553,31964.27,32242.62,341.9042857142857,11,2.75,2021-01-06 16:00:00+00:00,False,8.034032080824622,0.04715152945895468,7.986880551365667,0.0,10.8394078543285,AUDIT_PRIMARY_SL15_TIME24
10,10,2021-01-06 01:15:00+00:00,46590,1,2.3778507087494014,SWEEP_RECLAIM_4,2021-01-06 03:00:00+00:00,46597,33795.0,33918.85,340.10499999999905,7,1.75,2021-01-07 03:00:00+00:00,False,9.526322753267413,0.049865262198438856,9.476457491068974,0.7904911718439873,10.353126240425784,AUDIT_PRIMARY_SL15_TIME24
11,11,2021-01-06 13:15:00+00:00,46638,-1,-5.906072249653719,SWEEP_RECLAIM_4,2021-01-06 19:30:00+00:00,46663,35742.93,35644.44,307.5371428571426,25,6.25,2021-01-06 20:45:00+00:00,True,-1.5,0.05795143908285183,-1.557951439082852,2.385110277039692,4.274085360188792,AUDIT_PRIMARY_SL15_TIME24
