time_x,tf,dir,signal_close,signal_atr,f_C_BOLLINGER,f_C_PIVOT,f_C_WILLIAMS,f_P_3SOLDIER,f_P_PINBAR,f_P_TURNAROUND,f_T_ALLIGATOR,f_T_ENVELOPE,f_T_LINREG,f_T_MACD_MOM,f_T_PRICECHANNEL,f_T_PSAR,f_T_SMA_STOCH,f_V_ATR_EXP,available_event_time,time_y,available_time,regime,bias,score_expansion,score_pullback,score_reversal,score_range,context_score,bias_compat,bias_compat_label,is_high
2026-08-11 06:00:00,H1,1,4416.65,18.043822777963253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026-08-11 07:00:00,2026-08-11 00:00:00,2026-08-11 04:00:00,EXPANSION,BULL,80.0,45.0,0.0,0.0,0.625,1,ALIGNED,True
2026-08-12 15:00:00,H1,1,4437.38,18.12088462479752,0,1,0,0,0,0,1,1,1,0,1,0,0,0,2026-08-12 16:00:00,2026-08-12 12:00:00,2026-08-12 16:00:00,PULLBACK,BULL,70.0,45.0,0.0,0.0,0.575,1,ALIGNED,True
2026-08-13 08:00:00,H1,1,4382.84,18.63752527159198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-13 09:00:00,2026-08-13 04:00:00,2026-08-13 08:00:00,PULLBACK,BULL,60.0,100.0,25.0,0.0,0.675,1,ALIGNED,True
2026-08-13 11:00:00,H1,1,4375.76,17.850580547262286,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026-08-13 12:00:00,2026-08-13 08:00:00,2026-08-13 12:00:00,PULLBACK,BULL,50.0,100.0,15.0,0.0,0.675,1,ALIGNED,True
2026-08-14 09:00:00,H1,1,4335.6,16.893863929026185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026-08-14 10:00:00,2026-08-14 04:00:00,2026-08-14 08:00:00,PULLBACK,BULL,70.0,75.0,30.0,0.0,0.575,1,ALIGNED,True
2026-08-14 10:00:00,H1,1,4343.55,16.79501650552433,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2026-08-14 11:00:00,2026-08-14 04:00:00,2026-08-14 08:00:00,PULLBACK,BULL,70.0,75.0,30.0,0.0,0.575,1,ALIGNED,True
2026-08-14 11:00:00,H1,1,4348.57,16.15180104084402,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-08-14 12:00:00,2026-08-14 08:00:00,2026-08-14 12:00:00,PULLBACK,BULL,40.0,100.0,15.0,0.0,0.625,1,ALIGNED,True
2026-08-14 12:00:00,H1,1,4357.04,15.807386680783729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2026-08-14 13:00:00,2026-08-14 08:00:00,2026-08-14 12:00:00,PULLBACK,BULL,40.0,100.0,15.0,0.0,0.625,1,ALIGNED,True
2026-08-14 14:00:00,H1,1,4369.1,15.82606300536966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026-08-14 15:00:00,2026-08-14 08:00:00,2026-08-14 12:00:00,PULLBACK,BULL,40.0,100.0,15.0,0.0,0.625,1,ALIGNED,True
2026-08-17 09:00:00,H1,1,4402.99,15.162167867641092,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2026-08-17 10:00:00,2026-08-17 04:00:00,2026-08-17 08:00:00,PULLBACK,BULL,50.0,100.0,15.0,15.0,0.6,1,ALIGNED,True
2026-08-17 12:00:00,H1,1,4395.41,14.49730787361784,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2026-08-17 13:00:00,2026-08-17 08:00:00,2026-08-17 12:00:00,PULLBACK,BULL,50.0,100.0,15.0,15.0,0.6,1,ALIGNED,True
2026-08-17 22:00:00,H1,1,4419.66,16.069250219819125,0,1,0,0,0,1,0,1,0,1,0,0,0,0,2026-08-17 23:00:00,2026-08-17 16:00:00,2026-08-17 20:00:00,PULLBACK,BULL,60.0,75.0,0.0,15.0,0.6,1,ALIGNED,True
2026-08-18 10:00:00,H1,1,4395.61,14.277253378487343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026-08-18 11:00:00,2026-08-18 04:00:00,2026-08-18 08:00:00,PULLBACK,BULL,50.0,100.0,15.0,15.0,0.6,1,ALIGNED,True
2026-08-18 20:00:00,H1,1,4357.57,16.024604768422247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026-08-18 21:00:00,2026-08-18 16:00:00,2026-08-18 20:00:00,PULLBACK,BULL,60.0,100.0,30.0,15.0,0.575,1,ALIGNED,True
2026-08-18 23:00:00,H1,1,4332.93,15.93533770999409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-19 00:00:00,2026-08-18 20:00:00,2026-08-19 00:00:00,PULLBACK,BULL,50.0,100.0,15.0,15.0,0.6,1,ALIGNED,True
2026-08-19 11:00:00,H1,1,4355.58,15.066160133609976,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2026-08-19 12:00:00,2026-08-19 08:00:00,2026-08-19 12:00:00,PULLBACK,BULL,60.0,100.0,30.0,15.0,0.575,1,ALIGNED,True
2026-08-19 12:00:00,H1,1,4361.8,14.598577266923582,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2026-08-19 13:00:00,2026-08-19 08:00:00,2026-08-19 12:00:00,PULLBACK,BULL,60.0,100.0,30.0,15.0,0.575,1,ALIGNED,True
2026-08-19 15:00:00,H1,1,4438.69,18.74141190066731,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2026-08-19 16:00:00,2026-08-19 12:00:00,2026-08-19 16:00:00,PULLBACK,BULL,80.0,60.0,15.0,0.0,0.625,1,ALIGNED,True
2026-08-19 17:00:00,H1,1,4488.06,22.028309240881462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2026-08-19 18:00:00,2026-08-19 12:00:00,2026-08-19 16:00:00,PULLBACK,BULL,80.0,60.0,15.0,0.0,0.625,1,ALIGNED,True
2026-08-19 19:00:00,H1,1,4493.15,20.670021743413063,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2026-08-19 20:00:00,2026-08-19 16:00:00,2026-08-19 20:00:00,PULLBACK,BULL,90.0,45.0,0.0,0.0,0.675,1,ALIGNED,True
2026-08-19 21:00:00,H1,1,4495.0,20.55297793182048,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026-08-19 22:00:00,2026-08-19 16:00:00,2026-08-19 20:00:00,PULLBACK,BULL,90.0,45.0,0.0,0.0,0.675,1,ALIGNED,True
2026-08-19 22:00:00,H1,1,4511.12,20.357050936690474,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2026-08-19 23:00:00,2026-08-19 16:00:00,2026-08-19 20:00:00,PULLBACK,BULL,90.0,45.0,0.0,0.0,0.675,1,ALIGNED,True
2026-08-20 02:00:00,H1,1,4511.59,18.779690564106723,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2026-08-20 03:00:00,2026-08-19 20:00:00,2026-08-20 00:00:00,EXPANSION,BULL,90.0,45.0,0.0,0.0,0.675,1,ALIGNED,True
2026-08-20 20:00:00,H1,1,4519.76,19.491537285845535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026-08-20 21:00:00,2026-08-20 16:00:00,2026-08-20 20:00:00,PULLBACK,BULL,70.0,75.0,30.0,0.0,0.575,1,ALIGNED,True
2026-08-20 21:00:00,H1,1,4521.97,19.30714176542799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2026-08-20 22:00:00,2026-08-20 16:00:00,2026-08-20 20:00:00,PULLBACK,BULL,70.0,75.0,30.0,0.0,0.575,1,ALIGNED,True
2026-08-20 22:00:00,H1,1,4528.56,18.92520306789742,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2026-08-20 23:00:00,2026-08-20 16:00:00,2026-08-20 20:00:00,PULLBACK,BULL,70.0,75.0,30.0,0.0,0.575,1,ALIGNED,True
2026-08-21 11:00:00,H1,1,4583.82,18.775722483258136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-08-21 12:00:00,2026-08-21 08:00:00,2026-08-21 12:00:00,PULLBACK,BULL,90.0,45.0,0.0,0.0,0.675,1,ALIGNED,True
2026-08-21 14:00:00,H1,1,4596.97,18.672861623803932,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2026-08-21 15:00:00,2026-08-21 08:00:00,2026-08-21 12:00:00,PULLBACK,BULL,90.0,45.0,0.0,0.0,0.675,1,ALIGNED,True
2026-08-21 19:00:00,H1,1,4628.79,20.779719649712572,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2026-08-21 20:00:00,2026-08-21 16:00:00,2026-08-21 20:00:00,EXPANSION,BULL,90.0,45.0,0.0,0.0,0.675,1,ALIGNED,True
2026-08-24 15:00:00,H1,1,4662.67,20.053651507912324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026-08-24 16:00:00,2026-08-24 12:00:00,2026-08-24 16:00:00,EXPANSION,BULL,80.0,45.0,0.0,0.0,0.625,1,ALIGNED,True
2026-08-24 16:00:00,H1,1,4664.55,20.38267640020429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2026-08-24 17:00:00,2026-08-24 12:00:00,2026-08-24 16:00:00,EXPANSION,BULL,80.0,45.0,0.0,0.0,0.625,1,ALIGNED,True
2026-08-25 03:00:00,H1,1,4684.08,20.18108833550473,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2026-08-25 04:00:00,2026-08-25 00:00:00,2026-08-25 04:00:00,EXPANSION,BULL,80.0,45.0,0.0,0.0,0.625,1,ALIGNED,True
2026-08-25 05:00:00,H1,1,4629.42,22.585326166838286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026-08-25 06:00:00,2026-08-25 00:00:00,2026-08-25 04:00:00,EXPANSION,BULL,80.0,45.0,0.0,0.0,0.625,1,ALIGNED,True
2026-08-25 07:00:00,H1,1,4625.71,21.73209246018201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026-08-25 08:00:00,2026-08-25 04:00:00,2026-08-25 08:00:00,EXPANSION,BULL,70.0,90.0,40.0,0.0,0.6,1,ALIGNED,True
2026-08-25 08:00:00,H1,1,4642.89,21.883371570169036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026-08-25 09:00:00,2026-08-25 04:00:00,2026-08-25 08:00:00,EXPANSION,BULL,70.0,90.0,40.0,0.0,0.6,1,ALIGNED,True
2026-08-25 10:00:00,H1,1,4629.97,20.94086630284978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026-08-25 11:00:00,2026-08-25 04:00:00,2026-08-25 08:00:00,EXPANSION,BULL,70.0,90.0,40.0,0.0,0.6,1,ALIGNED,True
2026-08-25 16:00:00,H1,1,4616.41,20.316640378423337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026-08-25 17:00:00,2026-08-25 12:00:00,2026-08-25 16:00:00,PULLBACK,BULL,60.0,75.0,15.0,0.0,0.6,1,ALIGNED,True
2026-08-25 17:00:00,H1,1,4635.47,20.844737494250243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026-08-25 18:00:00,2026-08-25 12:00:00,2026-08-25 16:00:00,PULLBACK,BULL,60.0,75.0,15.0,0.0,0.6,1,ALIGNED,True
2026-08-25 18:00:00,H1,1,4652.49,21.505113387518094,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2026-08-25 19:00:00,2026-08-25 12:00:00,2026-08-25 16:00:00,PULLBACK,BULL,60.0,75.0,15.0,0.0,0.6,1,ALIGNED,True
2026-08-25 21:00:00,H1,1,4654.35,19.922927883519506,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2026-08-25 22:00:00,2026-08-25 16:00:00,2026-08-25 20:00:00,PULLBACK,BULL,70.0,75.0,30.0,0.0,0.575,1,ALIGNED,True
2026-08-25 22:00:00,H1,1,4666.79,19.539147320410986,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2026-08-25 23:00:00,2026-08-25 16:00:00,2026-08-25 20:00:00,PULLBACK,BULL,70.0,75.0,30.0,0.0,0.575,1,ALIGNED,True
