source,trades,variant
FVG_RETEST,52,C0_E75_CORE
BOS_RETEST,23,C0_E75_CORE
SWEEP_RECLAIM,20,C0_E75_CORE
OB_RETEST,3,C0_E75_CORE
FVG_RETEST,202,C1_EXPANSION_RAW_24H
BOS_RETEST,121,C1_EXPANSION_RAW_24H
SWEEP_RECLAIM,100,C1_EXPANSION_RAW_24H
OB_RETEST,21,C1_EXPANSION_RAW_24H
FVG_RETEST,158,X1_EXP_LIVE4H
BOS_RETEST,94,X1_EXP_LIVE4H
SWEEP_RECLAIM,85,X1_EXP_LIVE4H
OB_RETEST,14,X1_EXP_LIVE4H
FVG_RETEST,68,X2_EXP_FORMING_LIVE4H
BOS_RETEST,53,X2_EXP_FORMING_LIVE4H
SWEEP_RECLAIM,46,X2_EXP_FORMING_LIVE4H
OB_RETEST,9,X2_EXP_FORMING_LIVE4H
FVG_RETEST,117,X3_EXP_MATURE_LIVE4H
BOS_RETEST,63,X3_EXP_MATURE_LIVE4H
SWEEP_RECLAIM,62,X3_EXP_MATURE_LIVE4H
OB_RETEST,11,X3_EXP_MATURE_LIVE4H
FVG_RETEST,134,X4_EXP_ADX_HIGH_LIVE4H
BOS_RETEST,76,X4_EXP_ADX_HIGH_LIVE4H
SWEEP_RECLAIM,76,X4_EXP_ADX_HIGH_LIVE4H
OB_RETEST,12,X4_EXP_ADX_HIGH_LIVE4H
FVG_RETEST,81,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
BOS_RETEST,49,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
SWEEP_RECLAIM,16,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
OB_RETEST,10,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
FVG_RETEST,156,X6_EXP_NO_G1_LIVE4H
BOS_RETEST,91,X6_EXP_NO_G1_LIVE4H
SWEEP_RECLAIM,83,X6_EXP_NO_G1_LIVE4H
OB_RETEST,14,X6_EXP_NO_G1_LIVE4H
FVG_RETEST,236,D0_CORE_PLUS_RAW_EXP24H
BOS_RETEST,140,D0_CORE_PLUS_RAW_EXP24H
SWEEP_RECLAIM,118,D0_CORE_PLUS_RAW_EXP24H
OB_RETEST,24,D0_CORE_PLUS_RAW_EXP24H
FVG_RETEST,196,D1_CORE_PLUS_EXP_LIVE4H
BOS_RETEST,113,D1_CORE_PLUS_EXP_LIVE4H
SWEEP_RECLAIM,103,D1_CORE_PLUS_EXP_LIVE4H
OB_RETEST,17,D1_CORE_PLUS_EXP_LIVE4H
FVG_RETEST,108,D2_CORE_PLUS_EXP_FORMING_LIVE4H
BOS_RETEST,72,D2_CORE_PLUS_EXP_FORMING_LIVE4H
SWEEP_RECLAIM,64,D2_CORE_PLUS_EXP_FORMING_LIVE4H
OB_RETEST,12,D2_CORE_PLUS_EXP_FORMING_LIVE4H
FVG_RETEST,163,D3_CORE_PLUS_EXP_MATURE_LIVE4H
BOS_RETEST,81,D3_CORE_PLUS_EXP_MATURE_LIVE4H
SWEEP_RECLAIM,80,D3_CORE_PLUS_EXP_MATURE_LIVE4H
OB_RETEST,12,D3_CORE_PLUS_EXP_MATURE_LIVE4H
FVG_RETEST,177,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
BOS_RETEST,95,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
SWEEP_RECLAIM,93,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
OB_RETEST,15,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
FVG_RETEST,123,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
BOS_RETEST,68,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
SWEEP_RECLAIM,36,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
OB_RETEST,13,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
FVG_RETEST,197,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
BOS_RETEST,110,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
SWEEP_RECLAIM,101,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
OB_RETEST,17,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
