period,relation,profile_class,N,EV_R,PF,SumR,mean_mfe60,mean_mae60
historical,SUPPORTIVE,POC_ALIGNED,10,-0.2269523361902694,0.6789958260686334,-2.269523361902694,1.1932705157017993,0.8214280140127727
historical,SUPPORTIVE,POC_MIDDLE,16,-0.0516562750013161,0.8972415501607095,-0.8265004000210576,0.6927090803451759,0.8334225840286296
historical,SUPPORTIVE,POC_OPPOSITE,6,0.36992936573203444,2.052728341073227,2.2195761943922068,1.153239359255711,0.956232759918955
historical,ADVERSE,POC_ALIGNED,8,-0.04667469530133084,0.9125604982396825,-0.3733975624106467,0.8714518282205845,1.2876591709034577
historical,ADVERSE,POC_MIDDLE,9,1.6110012013444426,5.8132212427815775,14.499010812099984,0.9804281464293889,0.5504750665538662
historical,ADVERSE,POC_OPPOSITE,10,0.011708345836618877,1.0290001179845734,0.11708345836618878,1.1730278139246617,0.5541016723007861
forward_2026,SUPPORTIVE,POC_ALIGNED,1,-1.0085489802878398,0.0,-1.0085489802878398,0.5569879271536954,0.6818088807039007
forward_2026,SUPPORTIVE,POC_MIDDLE,1,-1.0082838763228958,0.0,-1.0082838763228958,1.3488275575845599,0.36563602407137774
forward_2026,SUPPORTIVE,POC_OPPOSITE,0,,,,,
forward_2026,ADVERSE,POC_ALIGNED,0,,,,,
forward_2026,ADVERSE,POC_MIDDLE,0,,,,,
forward_2026,ADVERSE,POC_OPPOSITE,0,,,,,
