feed,rule,signal_time,entry_time,side,atr14,entry,fwd_5m_atr,fwd_15m_atr,source_feed
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-03 18:09:00+00:00,2026-08-03 18:10:00+00:00,LONG,1.2785714285714025,4092.3,-1.4078212290504504,0.5474860335194219,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-03 18:44:00+00:00,2026-08-03 18:45:00+00:00,LONG,0.8571428571428896,4097.2,1.5166666666668214,2.4500000000003315,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-03 18:49:00+00:00,2026-08-03 18:50:00+00:00,LONG,1.0428571428572013,4098.2,1.5342465753427286,5.465753424657054,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-03 19:00:00+00:00,2026-08-03 19:01:00+00:00,LONG,1.0714285714284415,4102.1,1.7733333333332089,1.866666666666893,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-03 19:27:00+00:00,2026-08-03 19:28:00+00:00,LONG,1.2857142857142858,4110.1,-1.0888888888893133,-0.7777777777777777,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-03 20:31:00+00:00,2026-08-03 20:32:00+00:00,LONG,0.9928571428569869,4112.7,1.0071942446044748,-0.40287769784142347,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 01:41:00+00:00,2026-08-04 01:42:00+00:00,LONG,2.3142857142856235,4112.4,0.561728395061829,0.950617283950969,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 03:20:00+00:00,2026-08-04 03:21:00+00:00,LONG,1.05714285714287,4116.7,-1.702702702702854,-3.878378378377815,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 04:14:00+00:00,2026-08-04 04:15:00+00:00,LONG,0.9285714285713637,4112.1,0.0,4.953846153845912,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 04:26:00+00:00,2026-08-04 04:27:00+00:00,LONG,1.44285714285713,4115.6,0.6237623762373772,1.9405940594054536,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 04:48:00+00:00,2026-08-04 04:49:00+00:00,LONG,1.0142857142856363,4121.3,-0.7887323943664372,-2.661971830985941,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 05:24:00+00:00,2026-08-04 05:25:00+00:00,LONG,1.2214285714286623,4119.3,0.0,-1.964912280702055,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 22:27:00+00:00,2026-08-04 22:28:00+00:00,LONG,1.0285714285714025,4135.3,1.2638888888890978,4.569444444444383,RITHMIC
RITHMIC_RAW,BUYER_BREAKOUT_LONG,2026-08-04 22:32:00+00:00,2026-08-04 22:33:00+00:00,LONG,1.057142857142935,4136.5,2.554054054053694,2.9324324324325604,RITHMIC
