feed,signal_time,confirm_time,entry_time,side,entry,seed_atr14,seed_prior20_low,seed_delta_frac,seed_sell_vol,seed_body_atr,seed_range_atr,seed_close_pos,confirm_delta_frac,confirm_close_pos,confirm_close_vs_level_atr,fwd_5m_atr,fwd_15m_atr,fwd_30m_atr
RITHMIC_RAW,2026-08-03 05:10:00+00:00,2026-08-03 05:11:00+00:00,2026-08-03 05:12:00+00:00,SHORT,4112.4,1.6714285714285455,4116.0,-0.6666666666666666,35.0,-1.6153846153845317,1.67521367521381,0.03571428571441332,-0.18604651162790697,0.0,-2.213675213675139,1.1965811965812152,-2.871794871795025,-1.4957264957265188
RITHMIC_RAW,2026-08-04 15:16:00+00:00,2026-08-04 15:17:00+00:00,2026-08-04 15:18:00+00:00,SHORT,4134.2,2.149999999999896,4136.5,-0.38333333333333336,166.0,-1.5813953488375396,1.7209302325581382,0.05405405405400755,-0.04950495049504951,0.11111111111118596,-1.1162790697673266,0.18604651162774677,-0.4186046511630648,-2.6976744186048665
RITHMIC_RAW,2026-08-04 19:54:00+00:00,2026-08-04 19:55:00+00:00,2026-08-04 19:56:00+00:00,SHORT,4134.0,0.9928571428572468,4134.4,-0.3829787234042553,65.0,-1.007194244604211,1.5107913669063167,0.20000000000012128,-0.09090909090909091,0.3750000000001421,-0.604316546761977,-1.8129496402877632,-2.9208633093518457,1.8129496402877632
RITHMIC_RAW,2026-08-04 22:55:00+00:00,2026-08-04 22:56:00+00:00,2026-08-04 22:57:00+00:00,SHORT,4135.5,1.657142857142779,4136.8,-0.5652173913043478,36.0,-0.9655172413790265,1.2068965517241947,0.20000000000027285,-0.7254901960784313,0.0,-1.0258620689654558,4.103448275862372,5.129310344827828,7.663793103448527
RITHMIC_RAW,2026-08-04 22:56:00+00:00,2026-08-04 22:57:00+00:00,2026-08-04 22:58:00+00:00,SHORT,4134.2,1.642857142857013,4135.7,-0.7254901960784313,44.0,-0.5478260869563436,0.7913043478257067,0.0,-0.639344262295082,0.07142857142820021,-0.9130434782609418,4.565217391304709,2.8608695652175067,6.878260869565872
RITHMIC_RAW,2026-08-04 22:57:00+00:00,2026-08-04 22:58:00+00:00,2026-08-04 22:59:00+00:00,SHORT,4133.2,1.6214285714284284,4135.1,-0.639344262295082,50.0,-0.8017621145376278,0.8634361233478693,0.07142857142820021,-0.075,0.3333333333330807,-1.048458149780277,3.7004405286346875,3.4537444933920387,5.920704845815163
RITHMIC_RAW,2026-08-05 03:30:00+00:00,2026-08-05 03:31:00+00:00,2026-08-05 03:32:00+00:00,SHORT,4186.7,1.4071428571429092,4187.1,-0.6164383561643836,59.0,-0.852791878172428,1.4923857868022339,0.19047619047641734,-0.35294117647058826,0.49999999999943157,-0.2842639593912402,0.7106598984771311,-0.07106598984797165,-1.2791878172589652
RITHMIC_RAW,2026-08-05 04:36:00+00:00,2026-08-05 04:37:00+00:00,2026-08-05 04:38:00+00:00,SHORT,4193.4,1.300000000000052,4194.1,-0.6907216494845361,82.0,-0.30769230769201555,0.9230769230767463,0.16666666666654034,-0.36585365853658536,0.0,-0.5384615384620766,0.15384615384600778,1.923076923076846,-1.0000000000001
RITHMIC_RAW,2026-08-06 03:15:00+00:00,2026-08-06 03:16:00+00:00,2026-08-06 03:17:00+00:00,SHORT,4327.9,2.3357142857142725,4332.9,-0.28719723183391005,186.0,-1.3700305810396851,1.6697247706420555,0.10256410256401885,-0.13636363636363635,0.1538461538463422,-2.1834862385318887,0.6850152905196479,1.498470948012241,2.9541284403668335
RITHMIC_RAW,2026-08-06 15:53:00+00:00,2026-08-06 15:54:00+00:00,2026-08-06 15:55:00+00:00,SHORT,4293.2,2.857142857142987,4303.7,-0.4422857142857143,631.0,-1.6100000000000543,2.065000000000097,0.22033898305085792,-0.2865731462925852,0.09090909090917682,-3.7099999999996407,0.5949999999999093,-2.0299999999999714,3.744999999999766
RITHMIC_RAW,2026-08-07 00:11:00+00:00,2026-08-07 00:12:00+00:00,2026-08-07 00:13:00+00:00,SHORT,4303.8,1.5214285714285194,4306.0,-0.6190476190476191,34.0,-1.3145539906103736,1.577464788732807,0.16666666666685614,-0.2,0.4615384615386768,-1.3145539906103736,1.3145539906103736,3.417840375586852,8.018779342723159
RITHMIC_RAW,2026-08-07 02:35:00+00:00,2026-08-07 02:36:00+00:00,2026-08-07 02:37:00+00:00,SHORT,4311.2,1.4642857142858443,4315.0,-0.6133333333333333,121.0,-1.365853658536464,1.8439024390241023,0.18518518518519766,-0.36619718309859156,0.0,-2.8682926829264503,-1.2975609756100135,-0.682926829268232,-2.6634146341464775
RITHMIC_RAW,2026-08-07 07:26:00+00:00,2026-08-07 07:27:00+00:00,2026-08-07 07:28:00+00:00,SHORT,4344.1,1.6214285714285583,4346.1,-0.40789473684210525,107.0,-1.048458149779632,1.2334801762114638,0.15000000000009095,-0.3246753246753247,0.15000000000009095,-1.2334801762114638,-0.8634361233478002,-0.24669603524206837,-2.528634361233164
RITHMIC_RAW,2026-08-07 15:51:00+00:00,2026-08-07 15:52:00+00:00,2026-08-07 15:53:00+00:00,SHORT,4401.5,2.2214285714286626,4406.6,-0.4854111405835544,280.0,-2.070739549839307,2.2057877813506375,0.06122448979594867,-0.5161290322580645,0.31818181818176183,-2.340836012861968,-0.9003215434083232,-2.610932475884219,-0.09003215434075043
RITHMIC_RAW,2026-08-10 01:29:00+00:00,2026-08-10 01:30:00+00:00,2026-08-10 01:31:00+00:00,SHORT,4376.4,2.900000000000091,4382.0,-0.6470588235294118,476.0,-2.034482758620814,2.2758620689655715,0.030303030303001074,-0.19298245614035087,0.3157894736839838,-1.8275862068965572,-1.0000000000001568,-1.0000000000001568,-2.1379310344829423
RITHMIC_RAW,2026-08-10 04:40:00+00:00,2026-08-10 04:41:00+00:00,2026-08-10 04:42:00+00:00,SHORT,4390.0,1.4285714285712336,4393.3,-0.5128205128205128,59.0,-2.450000000000334,2.519999999999962,0.027777777777630405,-0.5,0.1363636363637303,-2.2400000000001783,-2.450000000000334,-5.5300000000005,-3.990000000000417
RITHMIC_RAW,2026-08-10 04:41:00+00:00,2026-08-10 04:42:00+00:00,2026-08-10 04:43:00+00:00,SHORT,4390.2,1.485714285714104,4390.3,-0.5,39.0,-0.40384615384583594,1.4807692307692895,0.1363636363637303,-0.6129032258064516,0.09090909090939157,-0.20192307692322406,-3.163461538461803,-4.509615384615814,-3.0961538461544698
RITHMIC_RAW,2026-08-10 05:18:00+00:00,2026-08-10 05:19:00+00:00,2026-08-10 05:20:00+00:00,SHORT,4393.1,1.2642857142856363,4393.2,-0.7073170731707317,35.0,-1.0282485875708287,1.1073446327681422,0.07142857142820021,-0.3333333333333333,0.0,-0.23728813559337886,-1.186440677966175,-5.774011299434809,-10.282485875706849
RITHMIC_RAW,2026-08-11 07:17:00+00:00,2026-08-11 07:18:00+00:00,2026-08-11 07:19:00+00:00,SHORT,4419.3,2.0928571428572207,4420.4,-0.6103896103896104,62.0,-1.2901023890783634,1.2901023890783634,0.0,-0.16666666666666666,0.05263157894754478,-0.6689419795219856,0.5255972696247276,-0.3344709897609928,0.6689419795224202
RITHMIC_RAW,2026-08-12 04:09:00+00:00,2026-08-12 04:10:00+00:00,2026-08-12 04:11:00+00:00,SHORT,4458.4,0.799999999999922,4460.4,-0.40625,45.0,-1.3750000000005889,1.7499999999997158,0.21428571428525026,-0.3949579831932773,0.0,-2.6249999999995737,3.3750000000001017,0.8749999999998579,2.500000000000244
RITHMIC_RAW,2026-08-12 05:20:00+00:00,2026-08-12 05:21:00+00:00,2026-08-12 05:22:00+00:00,SHORT,4455.6,1.5285714285714025,4456.9,-0.5689655172413793,91.0,-2.0934579439251504,2.355140186915571,0.08333333333339649,-0.08333333333333333,0.23076923076880024,-0.98130841121497,0.392523364486226,1.8971962616826323,6.672897196262272
RITHMIC_RAW,2026-08-12 16:33:00+00:00,2026-08-12 16:34:00+00:00,2026-08-12 16:35:00+00:00,SHORT,4472.9,1.6499999999998312,4478.6,-0.23484848484848486,163.0,-1.6969696969699808,2.1212121212123383,0.028571428571272657,-0.09210526315789473,0.034482758620808615,-3.3939393939399616,-0.6666666666669554,6.24242424242444,5.818181818182083
RITHMIC_RAW,2026-08-12 22:03:00+00:00,2026-08-12 22:04:00+00:00,2026-08-12 22:05:00+00:00,SHORT,4464.3,1.250000000000065,4466.1,-0.5466666666666666,58.0,-1.7599999999997629,2.3200000000003156,0.20689655172422444,-0.5238095238095238,0.11111111111054969,-1.3600000000005112,1.1999999999999376,2.640000000000008,4.720000000000191
RITHMIC_RAW,2026-08-13 01:46:00+00:00,2026-08-13 01:47:00+00:00,2026-08-13 01:48:00+00:00,SHORT,4469.5,2.750000000000065,4475.2,-0.5050167224080268,225.0,-1.7454545454542396,2.2545454545453354,0.2096774193548742,-0.13274336283185842,0.45000000000027285,-1.8545454545452125,-0.21818181818194532,1.4545454545454202,-0.18181818181817752
RITHMIC_RAW,2026-08-13 11:40:00+00:00,2026-08-13 11:41:00+00:00,2026-08-13 11:42:00+00:00,SHORT,4442.0,1.4571428571428962,4443.9,-0.6491228070175439,47.0,-1.784313725490398,1.784313725490398,0.0,-0.125,0.16666666666675087,-1.3039215686271663,-0.13725490196065582,0.27450980392131163,-3.9803921568627634
