source_feed,rule,signal_time_utc,entry_time_utc,clock_offset_min,broker_target_msc,entry_tick_msc,entry_lag_ms,entry_bid,entry_ask,entry_spread,entry_spread_bps,xau_atr14_m1,executable,reject_reason,exit_1m_bid,exit_1m_lag_ms,ret_1m_bps,ret_1m_atr,exit_3m_bid,exit_3m_lag_ms,ret_3m_bps,ret_3m_atr,exit_5m_bid,exit_5m_lag_ms,ret_5m_bps,ret_5m_atr,exit_10m_bid,exit_10m_lag_ms,ret_10m_bps,ret_10m_atr,exit_15m_bid,exit_15m_lag_ms,ret_15m_bps,ret_15m_atr,exit_30m_bid,exit_30m_lag_ms,ret_30m_bps,ret_30m_atr,exit_60m_bid,exit_60m_lag_ms,ret_60m_bps,ret_60m_atr,mfe_15m_bps,mae_15m_bps,mfe_15m_atr,mae_15m_atr,mfe_60m_bps,mae_60m_bps,mfe_60m_atr,mae_60m_atr
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-03T18:09:00+00:00,2026-08-03T18:10:00+00:00,180,1785791400000,1785791400007.0,7,4036.39,4036.84,0.45000000000027285,1.1147333062501186,1.1721428571428143,True,,4037.4,158.0,1.3872236699991711,0.4777574649603609,4036.3,157.0,-1.337679967499241,-0.4606946983546476,4034.98,308.0,-4.607564332498011,-1.5868372943328906,4037.43,12.0,1.4615392237485032,0.5033516148687369,4036.95,305.0,0.27249036374905267,0.09384521633122928,4037.73,154.0,2.2046947612485823,0.7592931139548247,4045.96,908.0,22.59192833998843,7.780621572212257,4.979142101246924,-5.0286858037479805,1.7148080438755464,-1.7318708104816478,31.063901467484378,-5.0286858037479805,10.698354661791951,-1.7318708104816478
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-03T18:44:00+00:00,2026-08-03T18:45:00+00:00,180,1785793500000,1785793500156.0,156,4041.28,4041.73,0.4499999999998181,1.1133846150035211,0.9932142857143,True,,4042.29,7.0,1.3855452986714736,0.5638259618841512,4040.83,458.0,-2.226769230008167,-0.9061488673139944,4042.29,156.0,1.3855452986714736,0.5638259618841512,4043.76,9.0,5.022601707685076,2.043869111830449,4043.27,155.0,3.8102495713468327,1.5505213951815304,4046.15,307.0,10.935911107372517,4.450197770586129,4053.95,153.0,30.234577767440673,12.303487953973011,7.867917946027657,-3.36489572534565,3.2017259978422916,-1.3692916217189146,34.29224614212262,-3.36489572534565,13.954692556634232,-1.3692916217189146
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-03T18:49:00+00:00,2026-08-03T18:50:00+00:00,180,1785793800000,1785793800156.0,156,4042.29,4042.74,0.4499999999998181,1.1131064575011456,1.1117857142856857,True,,4041.97,458.0,-1.904648827280463,-0.6925795053003548,4043.54,305.0,1.9788559244477308,0.7195631223901596,4043.76,9.0,2.5230413036713633,0.9174429810476376,4043.27,155.0,1.3109920499468184,0.4767105685835523,4047.94,8.0,12.862563508908002,4.677160295535219,4047.93,7.0,12.83782780985187,4.668165756505148,4054.65,152.0,29.46021757520966,10.712495984581343,14.000405665465278,-2.176741516891154,5.090909090909499,-0.7915194346286847,31.78537328643535,-2.176741516891154,11.557982653389638,-0.7915194346286847
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-03T19:00:00+00:00,2026-08-03T19:01:00+00:00,180,1785794460000,1785794460010.0,10,4045.95,4046.4,0.45000000000027285,1.1120996441287883,1.0210714285714662,True,,4046.39,156.0,-0.024713325425608636,-0.009793634138023836,4047.31,156.0,2.2489126136809374,0.8912207065405732,4047.94,157.0,3.8058521154605662,1.508219657222714,4046.77,9.0,0.9143930407272907,0.36236446309886544,4048.23,306.0,4.522538552787483,1.7922350472191702,4055.01,10.0,21.27817319098489,8.432318992654588,4050.34,306.0,9.737050217477398,3.8586918502972183,7.364570976670666,-2.9161724001588842,2.9185029730674166,-1.1556488282618724,22.711546065638725,-2.9161724001588842,9.000349772647501,-1.1556488282618724
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-03T19:27:00+00:00,2026-08-03T19:28:00+00:00,180,1785796080000,1785796080154.0,154,4053.93,4054.33,0.40000000000009095,0.9865995121267656,1.2300000000001157,True,,4053.26,5.0,-2.63915369493778,-0.8699186991866734,4055.01,10.0,1.6772191706158381,0.5528455284554692,4052.46,7.0,-4.612352719191311,-1.5203252032518009,4053.58,3.0,-1.849874085237265,-0.6097560975609183,4052.87,152.0,-3.6010882192619653,-1.186991869918617,4052.19,156.0,-5.278307389876682,-1.7398373983737165,4054.26,9.0,-0.17265491462142687,-0.05691056910544909,3.1077884631991433,-6.141581962987181,1.02439024390252,-2.0243902439020713,3.3791033290331343,-10.63060974316335,1.1138211382111887,-3.5040650406500324
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-03T20:31:00+00:00,2026-08-03T20:32:00+00:00,180,1785799920000,1785799920452.0,452,4056.21,4056.69,0.4800000000000182,1.1832306634226875,0.9799999999999857,True,,4056.2,152.0,-1.2078813022445305,-0.5000000000002486,4057.39,151.0,1.7255447174909053,0.7142857142855391,4057.32,154.0,1.5529902457424873,0.6428571428572636,4056.84,307.0,0.3697595823198,0.15306122448989096,4055.97,753.0,-1.7748459951345916,-0.734693877551291,,3780158.0,,,,1980158.0,,,3.303185602055236,-1.8734485504197222,1.3673469387756787,-0.7755102040818668,,,,
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-04T01:41:00+00:00,2026-08-04T01:42:00+00:00,180,1785818520000,1785818521207.0,1207,4056.59,4057.09,0.5,1.2324104222484589,2.234642857142847,True,,4056.41,153.0,-1.6760781742586215,-0.3042991849130292,4059.04,156.0,4.806400646768541,0.8726226626177905,4058.05,6.0,2.3662280107171307,0.4295988492888148,4059.32,160.0,5.496550483228171,0.9979223269937797,4058.59,8.0,3.6972312667453764,0.6712482020137477,4057.68,160.0,1.4542442982524193,0.2640242927919357,4062.49,10.0,13.310032560282458,2.4164935272493286,11.09169380023613,-4.066954393420138,2.013744606041243,-0.7383730222151631,19.02841691951571,-4.066954393420138,3.4546907463639984,-0.7383730222151631
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-04T03:20:00+00:00,2026-08-04T03:21:00+00:00,180,1785824460000,1785824461806.0,1806,4060.98,4061.48,0.5,1.2310783261274216,1.1092857142857935,True,,4061.0,153.0,-1.1818351930823694,-0.4327108821635399,4058.73,4.0,-6.770930793700818,-2.479072762395187,4059.1,14.0,-5.859932832366795,-2.145524790727569,4057.22,6.0,-10.48878733860617,-3.840309079201468,4056.99,754.0,-11.055083368624828,-4.047649710238173,4054.38,456.0,-17.481312231009163,-6.400515132002036,4055.97,155.0,-13.566483153924723,-4.9671603348356435,0.024621566521966207,-14.231265450033485,0.009014810044860235,-5.21056020605261,0.024621566521966207,-25.85264484867585,0.009014810044860235,-9.465550547327076
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-04T04:14:00+00:00,2026-08-04T04:15:00+00:00,180,1785827700000,1785827700152.0,152,4056.95,4057.45,0.5,1.232301075798839,0.9264285714285896,True,,4057.27,750.0,-0.4436283872871787,-0.19429452582865525,4058.76,756.0,3.228628818593945,1.4140323824213756,4056.81,153.0,-1.5773453770222006,-0.6908249807245984,4057.73,157.0,0.6900886024478432,0.3022359290672879,4061.34,308.0,9.587302369715777,4.198920585967889,4062.62,307.0,12.741993123760178,5.580570547417086,4057.87,13.0,1.0351329036712043,0.45335389360068645,10.006284735487561,-4.066593550135273,4.382420971472976,-1.781033153430567,21.29416258980475,-4.066593550135273,9.326137239784288,-1.781033153430567
RITHMIC,BUYER_BREAKOUT_LONG,2026-08-04T04:26:00+00:00,2026-08-04T04:27:00+00:00,180,1785828420000,1785828420304.0,304,4060.01,4060.51,0.5,1.2313724138100879,1.4032142857142844,True,,4060.03,307.0,-1.1821175172577292,-0.34207177398830546,4061.34,308.0,2.0440782069245667,0.5914991091880373,4060.95,1359.0,1.0836077241518918,0.3135657928223163,4062.23,156.0,4.235921103506209,1.2257571901245723,4062.82,3015.0,5.688940551802471,1.6462204123186188,4064.46,457.0,9.727842069099246,2.814965640111861,4062.92,9.0,5.935215034564265,1.7174853652327815,8.693489241498593,-2.2410977931351215,2.515652837872053,-0.6485110715196916,13.7421161381204,-8.521097103565896,3.9765843726138486,-2.465767370832301
