file,size_bytes,sha256
CAUSAL_2024_2026H1_monthly_diagnostic.csv,2295,9df45ee40bf68ac848cccb2ad11b07c83ae6e40f4cb325f76df7cbbd94c03877
FINAL_VERDICT.json,623,77fcff2c0ccb031ffa4364f8eb78aaed5fc54fdd3bb297d4f2f877c5425ad2cb
FXArena_REV_Confirmation_v001_FROZEN.md,878,01b4e8fa4e15e236ec972b93f6fbc8774c18e24be1a6c91c78d0e35ea0003dcb
FXArena_REV_Confirmation_v001_Report.md,3006,b2c6fb2ec97054dda396f3c5f16d33c65fd53ca4c86fff2555d1d63d1a2635e1
RC1_2023_monthly.csv,945,0e1ff42e7630972534d3ad4ab7f40ad6e37a343f223992ded458566f3bfa5164
RC1_gates.csv,105,b5dc0e904dfc555d4372a718d7b044243a9baa14423f224053d4100b10f82876
RC2_RC6_NOT_EXECUTED.csv,244,3bfc4a5a79ea4a444839fa626b93763a546d2bfe134cf2704e028fea8896df9f
REFERENCE_LEAKAGE_AUDIT.json,1227,ad356bcc461b920dbdd3d8bef1dbdc4d43924c037b80d4aed6a3b89f50504341
REFERENCE_POPULATION_COUNTS.csv,144,7e33d7e00d7e8e37986512ea143777437854f493d7267296c505dbc177d158d7
SOURCE_ARTIFACTS_SHA256.csv,985,45bfb2aede8b632731f307b58201804ebf95be4e5c2e0b1c050eea26ddfee0b9
run_REV_Confirmation_v001.py,3051,68669293fb248dc60584766afcdc6fc72f658dd2fe1bb03313f23629899716e6
trades_REV_CAUSAL_D3_2023_PRODUCTION.csv.gz,96652,74008d17e0db315566516bcca87125eaf73848ca703c114e277ff0643bd5443c
trades_REV_CAUSAL_D3_2023_THRESHOLD_075_DIAGNOSTIC.csv.gz,79525,558180e31fa3af7fe34f2e10ee0ce3e7b448ec766f4a0bef130ac5afd0fb87ad
trades_REV_CAUSAL_D3_2024_2026H1.csv.gz,263496,6b44269167d37f27ecb551cd3fc6558d19221e32854001b3ae96231b81550c77
trades_REV_CAUSAL_D3_2024_2026H1_THRESHOLD_075_DIAGNOSTIC.csv.gz,217592,6285ffaaadabfb6c94cdd866e5ebf47b8c9b2ec49e698f9b33e11cec1b7ff75e
